%Time(ms),Error2,Error1,FirstTouch(m)
12126,29993.63281,418069.0313,0
12128,30185.5918,441328.9688,0
12129,31160.08008,461667.6563,0
12130,31611.45117,483731.4688,0
12131,32037.88281,506085.7813,0
12131,32198.76758,531024.6875,0
12133,33041.07422,552774,0
12134,33352.3125,576207,0
12135,34084.14453,597724.25,0
12136,34645.375,624869.75,0
12136,35232.45703,647709,0
12138,35509.88281,671964.8125,0
12139,35742.53516,696432.875,0
12140,35928.32813,721102.5625,0
12141,36065.55859,745962.75,0
12141,36506.45313,769024.125,0
12143,36681.22656,795252.125,0
12144,36952.41406,820221.875,0
12145,37164.91797,845351.25,0
12146,37314.09766,870630.625,0
12146,37346.48828,896163.5625,0
12148,37470.53125,921597.0625,0
12149,37521.27344,947145.5625,0
12150,37991.78906,970779.1875,0
12151,38399.61328,997739.5,0
12151,38502.44922,1023477.563,0
12153,39051.27344,1047068.813,0
12154,39896.85156,1075942.5,0
15481,2186.474609,4941.588379,0
15481,2910.188721,9959.219727,0
15483,4244.919434,11288.92578,0
15484,4974.696777,11521.61816,0
15485,5609.461914,11947.58887,0
15486,6158.771484,12617.84277,0
15486,6417.73291,13794.82324,0
15488,7028.456543,14892.06934,0
15489,7573.456055,16378.81445,0
15490,8059.026856,18298.41211,0
15491,8490.780273,20691.97656,0
15491,8672.705078,23799.49609,0
15493,9214.566406,27052.40039,0
15494,9722.62207,30882.87305,0
15495,10206.73633,35316.72266,0
15496,11092.28906,38161.14844,0
15496,11641.9707,47296.32422,0
15498,13264.58301,49765.44531,0
15499,13610.02637,57529.46484,0
15500,14471.95703,64560.21094,0
15501,15348.38086,72302.64844,0
15501,16015.32227,80998.44531,0
15503,17078.05078,90057.25781,0
15504,18511.37305,97639.39844,0
15505,19099.52539,109255.4453,0
15506,20532.13477,118005.4922,0
15506,20554.40234,133250.9219,0
15508,22471.71484,142171.6094,0
15509,23009.27539,156599.2188,0
15510,24363.69141,168192.7813,0
15511,24831.17969,183874.4063,0
15511,25581.8418,199132.9375,0
15513,26493.27539,215004.7188,0
15514,27724.55273,229449.375,0
15515,28476.00977,245676.0781,0
15516,28828.56055,264540.4688,0
15516,29865.39844,280675.9688,0
15518,30237.72266,300610.5938,0
15519,31407.32617,317689,0
15520,32075.71484,336538.75,0
15521,32738.4707,355736,0
15521,32852.94531,377636.1563,0
15523,33562.24609,398655.5,0
15524,34561.33203,418201.75,0
15525,35049.14453,439480.6563,0
15526,35519.48047,461067.5625,0
15526,35854.1875,483071.875,0
15528,35945.39844,507346,0
15529,36802.40234,528695.1875,0
15530,37127.71875,551742.0625,0
15531,37418.82422,575056.1875,0
15531,37560.64063,598741.875,0
15533,37907.96484,622433.125,0
15534,38224.93359,646354.4375,0
15535,38509.02734,670496.375,0
15536,38756.48438,694850.625,0
15536,38841.44922,719530.5,0
15538,39116.62109,744170.4375,0
15539,39338.38281,769000.8125,0
15540,39975.67969,791925.4375,0
15541,40193.46875,818241.375,0
15541,40298.81641,843421.25,0
15543,40578.27344,868522.375,0
15544,40796.53516,893765.4375,0
15545,40950.83594,919138.3125,0
15546,41037.62109,944629.25,0
15546,41425.57813,968328.75,0
15548,41673.69141,995112,0
15549,41844.00391,1020573.25,0
15550,41930.55469,1046120.875,0
15551,41932.40625,1071742.875,0
15551,42231.72656,1095573.5,0
18837,663.1254883,1979.610596,0
18838,1956.523315,3212.060303,0
18839,2591.203369,3512.693604,0
18840,3098.044434,3942.654541,0
18841,3497.656494,4545.503418,0
18842,3572.992432,7180.588867,0
18843,4382.33252,7487.983398,0
18844,5073.460449,8116.947266,0
18845,5682.277344,13166.96387,0
18846,6328.48584,13982.15137,0
18847,6636.650879,16478.87109,0
18848,6898.020508,19482.33398,0
18849,7539.055176,20856.51563,0
18850,8167.246582,28212,0
18851,9224.297852,29320.58008,0
18852,9303.359375,35506.30469,0
18853,9706.915039,40905.01563,0
18854,10104.67969,46961.0625,0
18855,10918.49609,51441.60938,0
18856,10939.70313,59826.60547,0
18857,11699.48145,67257.13281,0
18858,12465.69531,75411.71094,0
18859,13228.8125,84316.29688,0
18860,13976.57129,93996.82031,0
18861,14695.24512,104477.9844,0
18862,15929.78613,113337.1875,0
18863,16297.14453,126268.8125,0
18864,17093.77344,138630.9375,0
18865,17814.48633,151857.3906,0
18866,18864.11523,163653.6875,0
18867,19157.94922,179413.5625,0
18868,20278.88867,192314.8125,0
18869,20511.92578,209302.5938,0
18870,21157.26172,225717.5938,0
18871,22125.32227,240693.6875,0
18872,22320.11914,259612.8281,0
18873,23328.90234,275663.3438,0
18874,23425.26953,295770.2188,0
18875,24327.83008,313002.3438,0
18876,24730.51758,332009.4375,0
18877,24823.79102,353499.375,0
18878,25715.5,372098.125,0
18879,26100.50195,392453.625,0
18880,26156.72656,415369.2813,0
18881,26890.23047,435373.1563,0
18882,27217.42969,457002.7188,0
18883,27518.88477,478941.6875,0
18884,27689.83203,503388.5,0
18885,28286.19141,524901.6875,0
18886,28344.23047,548126.5625,0
18887,28473.17383,571516.5,0
18888,28568.91797,595165,0
18889,28960.28516,621213.375,0
18890,29799.63672,642113.5625,0
18891,30754.84961,670024.375,0
18892,31193.63281,693359.0625,0
18893,31297.02539,718317.9375,0
18894,31450.02734,743468.3125,0
18895,31712.9707,766707.625,0
18896,32314.08398,793361.9375,0
18897,32373.34766,818662.125,0
18898,32498.38477,844129.0625,0
18899,32688.60352,869747.875,0
18900,32920.14063,893449.75,0
18901,33550.94531,920508.375,0
18902,33610.66797,946125.6875,0
18903,33728.46484,971842.75,0
18904,34043.57422,995631.75,0
18905,34596.45703,1022737.125,0
18906,34720.09766,1048496,0
18907,34802.32813,1074207,0
18908,34970.16016,1099980.5,0
18909,35228.64844,1125804.5,0
22095,657.371582,1990.596924,0
22096,1958.233154,3234.454834,0
22097,2338.866943,5282.061035,0
22098,3420.642822,6334.70459,0
22099,3909.032471,6902.625,0
22100,4321.294922,7701.462402,0
22101,4670.605469,8774.947266,0
22102,5198.202637,9935.795898,0
22103,5683.330566,11456.91211,0
22104,6130.603027,13381.98926,0
22105,6540.928223,15756.38965,0
22106,6912.561035,18625.30469,0
22107,7434.208496,21840.77734,0
22108,7905.958008,25640.77539,0
22109,8331.479492,30056.99609,0
22110,8719.041016,35113.83594,0
22111,9496.568359,38593.41797,0
22112,9740.045898,48005.88672,0
22113,10818.90039,53416.55469,0
22114,11825.85449,58681.71094,0
