% Data output, Exercise:peg_board_level_1, Input:hydra
% Date:06/15/2015, Time:16:12:13
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact
19.936001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00665,-0.82720,-6.32266,-5.41048,3.69794,0.46181,-0.149047,0.598896,-0.126730,0.776562,0.027643,-0.105560,-0.020532,0.993817,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.945999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00703,-0.82718,-6.32175,-5.41096,3.69725,0.46287,-0.148983,0.598936,-0.126707,0.776547,0.027699,-0.105533,-0.020498,0.993819,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.957001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00775,-0.82747,-6.32129,-5.41141,3.69689,0.46339,-0.148929,0.598969,-0.126714,0.776531,0.027728,-0.105519,-0.020471,0.993820,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.968000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00949,-0.82861,-6.32186,-5.41139,3.69667,0.46374,-0.148892,0.598989,-0.126798,0.776508,0.027746,-0.105531,-0.020481,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.979000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00806,-0.82744,-6.32049,-5.41105,3.69672,0.46371,-0.148872,0.599005,-0.126692,0.776517,0.027742,-0.105529,-0.020496,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.989000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00719,-0.82662,-6.31923,-5.41049,3.69724,0.46295,-0.148836,0.599031,-0.126611,0.776518,0.027699,-0.105496,-0.020501,0.993822,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.000000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00866,-0.82754,-6.31955,-5.41107,3.69686,0.46348,-0.148809,0.599029,-0.126683,0.776513,0.027731,-0.105526,-0.020493,0.993819,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.017000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00970,-0.82817,-6.31972,-5.41190,3.69622,0.46440,-0.148772,0.599057,-0.126723,0.776491,0.027783,-0.105545,-0.020468,0.993816,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.034000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00718,-0.82659,-6.31917,-5.41276,3.69632,0.46413,-0.148841,0.599016,-0.126613,0.776528,0.027776,-0.105595,-0.020452,0.993811,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.049999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00821,-0.82691,-6.31813,-5.41373,3.69597,0.46456,-0.148743,0.599078,-0.126607,0.776500,0.027803,-0.105595,-0.020405,0.993811,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.066999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01034,-0.82807,-6.31793,-5.41382,3.69553,0.46527,-0.148634,0.599161,-0.126665,0.776447,0.027839,-0.105578,-0.020395,0.993812,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.083000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00940,-0.82767,-6.31843,-5.41232,3.69601,0.46469,-0.148679,0.599158,-0.126640,0.776444,0.027801,-0.105553,-0.020453,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.100000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00806,-0.82712,-6.31926,-5.41086,3.69672,0.46375,-0.148771,0.599110,-0.126623,0.776467,0.027743,-0.105530,-0.020507,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
20.117001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00585,-0.82564,-6.31843,-5.41031,3.69704,0.46329,-0.148831,0.599053,-0.126523,0.776516,0.027716,-0.105506,-0.020518,0.993821,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
