% Data output, Exercise:myomectomy_closure_level_2, Input:mantis
% Date:06/16/2015, Time:19:41:34
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact, tool3_normal_force, tool3_shear_force
26.770000,1.16170,13.79961,2.79064,-2.21175,13.53603,3.33206,-0.052100,0.193822,0.078409,0.976509,-0.093438,0.052848,-0.326587,0.939051,8.55743,-0.44391,-4.95141,-7.87355,-0.03540,-4.19839,-0.024735,0.250765,0.417380,0.873098,0.039665,-0.058146,-0.528675,0.845901,-0.6000,-0.6000,0,1,0,18,370.1563,370.1563,0,0,0.0000,0.0000,0,0.0000,0.0000
26.830999,1.20275,13.75187,2.69834,-2.23625,13.51412,3.31091,-0.049575,0.193085,0.077086,0.976892,-0.053142,0.035693,-0.327278,0.942757,8.70304,-0.57725,-5.17894,-7.96968,-0.12349,-4.26268,-0.027483,0.245882,0.419947,0.873173,0.039731,-0.056567,-0.533609,0.842902,-0.6000,-0.6000,0,1,0,17,128.6518,128.6518,0,0,0.0000,0.0000,0,0.0000,0.0000
26.884001,1.23180,13.71893,2.63099,-2.25679,13.48899,3.29549,-0.049826,0.193282,0.076110,0.976917,-0.021898,0.017904,-0.325361,0.945167,8.81824,-0.66364,-5.33285,-8.03509,-0.18582,-4.31635,-0.030929,0.243493,0.422506,0.872493,0.040526,-0.055956,-0.536929,0.840794,-0.6000,-0.6000,0,1,0,18,129.0964,129.0964,0,0,0.0000,0.0000,0,0.0000,0.0000
26.934000,1.25197,13.70040,2.58530,-2.27343,13.46648,3.28415,-0.048078,0.192616,0.075621,0.977174,0.003399,0.002195,-0.322513,0.946557,8.90985,-0.70922,-5.44430,-8.08698,-0.21364,-4.36584,-0.032420,0.239914,0.425994,0.871733,0.042751,-0.055007,-0.540548,0.838424,-0.6000,-0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.987000,1.26029,13.68818,2.54929,-2.28578,13.44636,3.27673,-0.044891,0.193641,0.074185,0.977233,0.024142,-0.010706,-0.319625,0.947176,8.96497,-0.74828,-5.52890,-8.12414,-0.23317,-4.40086,-0.032719,0.237954,0.427592,0.871477,0.045304,-0.052833,-0.542988,0.836851,-0.6000,-0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
27.040001,1.25170,13.69226,2.53535,-2.29285,13.43616,3.27912,-0.037272,0.188835,0.075724,0.978375,0.045982,-0.013367,-0.321790,0.945599,8.96886,-0.72439,-5.54117,-8.13370,-0.20670,-4.39029,-0.030433,0.229568,0.430616,0.872320,0.050813,-0.041793,-0.547559,0.834177,-0.3825,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0
27.094000,1.21010,13.71997,2.54784,-2.26099,13.43472,3.29748,-0.026900,0.185674,0.076761,0.979239,0.055756,-0.014383,-0.323241,0.944563,8.83801,-0.62686,-5.45536,-8.00060,-0.10932,-4.34464,-0.027512,0.222953,0.430284,0.874294,0.057424,-0.031037,-0.548867,0.833357,0.4431,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
27.143000,1.15067,13.76459,2.58104,-2.21296,13.44340,3.32221,-0.018277,0.186770,0.075972,0.979291,0.067334,-0.011403,-0.327537,0.942367,8.65355,-0.48351,-5.30931,-7.81081,-0.00279,-4.25686,-0.024222,0.219881,0.429924,0.875346,0.062264,-0.020413,-0.546826,0.834679,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
27.191000,1.09162,13.81063,2.62028,-2.17487,13.45316,3.34821,-0.011660,0.190247,0.073962,0.978877,0.084586,-0.005912,-0.334109,0.938713,8.49279,-0.35002,-5.17735,-7.60283,0.06974,-4.17217,-0.020672,0.219293,0.429563,0.875762,0.067794,-0.007366,-0.543709,0.836499,0.6000,0.6000,0,1,0,17,127.4117,127.4117,0,0,0.0000,0.0000,0,0.0000,0.0000
27.245001,1.04699,13.85080,2.64918,-2.12830,13.46056,3.37581,0.000910,0.188477,0.073800,0.979300,0.102657,0.002870,-0.343132,0.933656,8.40605,-0.24466,-5.08164,-7.43198,0.09190,-4.11078,-0.014691,0.211728,0.429406,0.877819,0.074065,0.007428,-0.537431,0.840016,0.6000,0.6000,0,1,0,17,128.3648,128.3648,0,0,0.0000,0.0000,0,0.0000,0.0000
