%frameid,time(us),x(mm),y(mm),z(mm) 
3496748,1909227564,-46.0955,9.08737,229.813
3496749,1909237410,-47.7519,7.0546,239.32
3496750,1909247203,-49.1879,4.40745,248.791
3496751,1909257007,-50.5903,1.97507,257.504
3496752,1909266929,-51.6558,-0.252375,264.891
3496753,1909276745,-52.5763,-2.04827,271.541
3496754,1909286559,-52.9623,-4.12753,277.133
3496755,1909296466,-53.2228,-5.63866,281.074
3496756,1909306222,-53.6404,-6.71498,284.216
3496757,1909316094,-53.4814,-7.70211,285.973
3496758,1909325868,-53.3111,-8.40383,287.087
3496759,1909335733,-52.9018,-8.94187,287.337
3496760,1909345574,-52.366,-9.39486,287.177
3496761,1909355429,-51.5883,-9.7411,286.319
3496762,1909365283,-49.3735,-10.4026,282.645
3496763,1909375100,-47.4788,-10.5954,278.039
3496764,1909384901,-45.828,-10.177,272.321
3496765,1909394740,-44.2299,-9.13936,265.009
3496766,1909404585,-42.319,-7.65151,256.03
3496767,1909414466,-40.5374,-5.65142,245.361
3496768,1909424257,-38.1912,-3.31282,233.221
3496769,1909434105,-35.5182,-0.787211,219.952
3496770,1909443912,-32.7104,1.78486,205.543
3496771,1909453770,-29.7595,4.49987,189.894
3496772,1909463618,-26.375,7.02033,174.26
3496773,1909473438,-22.7067,9.01354,158.931
3496774,1909483316,-18.4656,10.0395,144.177
3496775,1909493137,-14.0617,10.3551,131.716
3496776,1909502993,-9.65891,10.1806,121.861
3496777,1909512792,-5.76634,9.58325,115.121
3496778,1909522632,-2.65291,8.48463,110.98
3496779,1909532472,0.117033,6.69014,109.931
3496780,1909542261,1.70966,4.46757,111.885
3496781,1909552144,2.82804,1.74767,116.791
3496782,1909561957,3.28722,-1.23261,123.882
3496783,1909571830,2.79413,-4.93588,133.5
3496784,1909581599,1.59203,-9.07369,144.941
3496785,1909591465,0.159302,-13.6827,157.789
3496786,1909601259,-1.57416,-19.0453,172.362
3496787,1909630864,-9.26467,-39.8743,228.221
3496788,1909640681,-9.71747,-45.9114,240.037
3496789,1909650503,-10.408,-53.5134,253.409
3496790,1909660343,-11.7754,-61.1811,267.121
3496791,1909670180,-12.6519,-69.5797,281.857
3496792,1909680042,-13.2642,-78.3036,295.615
3496793,1909690367,-13.2937,-87.5368,308.315
3496794,1909699707,-13.6066,-95.944,319.746
3496795,1909709564,-13.4645,-104.53,330.552
3496796,1909719368,-13.287,-112.119,340.843
3496797,1909729167,-12.6728,-119.802,348.557
3496798,1909739031,-12.1926,-127.029,354.672
3496799,1909748861,-11.7199,-133.342,360.212
3496800,1909758701,-10.954,-138.924,363.316
3496801,1909768603,-10.4755,-143.641,365.403
3496802,1909778428,-10.4467,-146.011,365.763
3496803,1909788271,-10.1523,-147.793,365.697
3496804,1909798090,-9.98452,-148.453,364.597
3496805,1909807974,-9.49866,-148.403,362.854
3496806,1909817774,-8.63889,-146.741,357.088
3496807,1909827611,-8.00331,-143.992,351.398
3496808,1909837451,-6.92701,-140.299,344.924
3496809,1909847307,-6.67003,-134.372,336.46
3496810,1909857008,-5.91598,-127.655,327.712
3496811,1909866909,-5.18608,-119.562,317.863
3496812,1909876836,-3.61111,-111.202,306.315
3496813,1909886612,-3.05997,-101.413,294.674
3496814,1909896489,-2.52303,-89.5882,281.07
3496815,1909906287,-1.85206,-77.3493,266.173
3496816,1909916103,-1.65669,-64.4386,250.487
3496817,1909925901,-1.70885,-51.0376,233.621
3496818,1909935810,-1.73555,-37.7476,216.239
3496819,1909945622,-1.28248,-25.3707,198.459
3496820,1909955424,-0.438983,-13.4915,181.678
3496821,1909965330,0.998818,-3.44582,165.152
3496822,1909975111,2.3379,5.20533,150.4
3496823,1909984920,3.66683,12.3168,137.181
3496824,1909994803,4.25719,18.5019,126.6
3496825,1910004652,4.46382,23.7012,118.531
3496826,1910014509,4.18228,27.2396,113.4
3496827,1910024308,3.43523,29.7147,111.45
3496828,1910034129,2.55659,31.4895,112.794
3496829,1910043981,0.611316,33.6986,116.67
3496830,1910053816,-1.79764,35.7031,123.152
3496831,1910063647,-4.68704,37.2188,131.2
3496832,1910073449,-7.67264,38.1966,140.821
3496833,1910083323,-11.1217,39.0758,151.413
3496834,1910093175,-14.3417,38.9981,162.56
3496835,1910103036,-17.7829,38.9099,173.92
3496836,1910112895,-20.5409,37.735,184.933
3496837,1910122718,-23.7243,36.6915,196.942
3496838,1910132509,-26.4889,35.4081,207.924
3496839,1910142380,-29.2374,34.1243,218.903
3496840,1910152218,-31.2267,31.4927,228.488
3496841,1910162065,-32.9567,28.4254,236.65
3496842,1910171869,-34.7402,24.8327,244.847
3496843,1910181698,-36.2996,21.9463,251.528
3496844,1910191516,-37.9409,18.9243,258.133
3496845,1910201407,-39.2378,16.2528,263.182
3496846,1910211197,-40.3209,13.8071,266.351
3496847,1910221076,-41.2344,11.4201,268.96
3496848,1910230932,-42.0301,9.90448,270.539
3496849,1910240818,-42.5185,8.4525,271.091
3496850,1910250594,-42.906,7.272,270.715
3496851,1910260440,-43.0901,6.28015,269.226
3496852,1910270303,-43.2167,4.85605,265.253
3496853,1910280106,-42.7655,3.40792,260.588
3496854,1910289863,-41.922,2.58842,254.635
3496855,1910299745,-40.9568,1.96916,247.581
3496856,1910309613,-39.7697,1.66993,239.479
3496857,1910319396,-38.4833,2.07731,230.16
3496858,1910329301,-36.7874,2.66409,219.872
3496859,1910339118,-34.6249,3.28037,208.731
3496860,1910348976,-31.8858,3.5492,196.592
3496861,1910358752,-29.2718,4.19396,182.73
3496862,1910368592,-26.032,4.69333,169.45
3496863,1910378408,-22.1264,4.46778,156.07
3496864,1910388270,-17.9979,3.71939,142.767
3496865,1910398102,-13.4273,2.11312,131.145
3496866,1910407981,-8.73772,-0.358409,121.748
3496867,1910417794,-4.71374,-4.07515,115.089
3496868,1910427621,-0.904245,-8.35743,111.333
3496869,1910437424,1.99762,-13.5655,110.415
3496870,1910447298,3.49748,-19.161,113.017
3496871,1910457063,3.88919,-25.318,119.029
3496872,1910466965,3.77956,-31.0642,128.317
3496873,1910476781,2.22487,-35.8211,138.977
3496874,1910486694,0.582086,-41.2875,152.801
3496875,1910496486,-1.69681,-47.6958,169.735
3496876,1910506307,-3.62279,-54.6719,187.946
3496877,1910516208,-5.56191,-62.7793,207.699
3496878,1910525995,-6.975,-71.1894,227.647
3496879,1910535826,-8.36201,-80.7789,247.126
3496880,1910545673,-8.89165,-91.2288,266.371
3496881,1910555502,-8.93846,-102.054,285.015
3496882,1910565319,-8.57178,-112.697,301.568
3496883,1910575142,-7.7477,-123.402,315.877
3496884,1910584963,-7.19146,-134.029,329.348
3496885,1910594797,-6.58528,-143.517,341.619
3496886,1910604692,-5.75702,-153.023,351.267
3496887,1910614537,-4.48751,-160.125,359.295
3496888,1910624413,-3.95634,-166.23,365.757
3496889,1910634228,-3.06391,-172.13,370.594
3496890,1910644069,-1.22099,-177.645,373.318
3496891,1910653935,0.0122508,-182.05,376.515
3496892,1910663680,1.08775,-183.992,377.41
3496893,1910673497,1.70214,-185.627,378.032
3496894,1910683363,2.54047,-186.052,377.18
3496895,1910693221,4.02082,-184.841,373.168
3496896,1910703098,5.1399,-183.171,369.445
3496897,1910712860,6.66204,-180.134,363.451
3496898,1910722699,8.22559,-174.879,356.596
3496899,1910732615,9.47052,-170.545,349.836
3496900,1910742346,10.599,-163.959,341.478
3496901,1910752252,12.0367,-157.146,331.627
3496902,1910762051,13.1429,-149.411,321.62
3496903,1910771881,14.0984,-139.632,309.736
3496904,1910781803,15.3696,-129.876,295.847
3496905,1910791534,16.1256,-118.108,281.956
3496906,1910801441,17.3571,-106.487,265.499
3496907,1910811304,17.1786,-93.0203,249.886
3496908,1910821134,16.5383,-79.3722,233.471
3496909,1910830990,14.4203,-62.9031,218.568
3496910,1910840802,12.9079,-47.132,200.642
3496911,1910850631,11.3189,-31.0833,181.21
3496912,1910880138,10.2118,8.41031,117.237
3496913,1910889892,9.8333,12.1136,107.355
3496914,1910899834,8.83071,15.0796,99.849
3496915,1910909629,7.55094,17.8675,95.1369
3496916,1910919695,5.52849,19.9562,93.0784
3496917,1910929300,3.1983,21.1981,93.6818
3496918,1910948959,-3.44342,23.2158,104.612
3496919,1910958780,-5.62806,23.3407,110.454
3496920,1910968624,-8.1766,23.0886,118.107
3496921,1910978466,-11.0246,23.2986,127.096
3496922,1910988359,-13.9376,22.6668,136.872
3496923,1910998209,-16.2964,21.6344,146.68
3496924,1911017869,-21.3702,17.79,169.156
3496925,1911027601,-22.8515,16.051,177.235
3496926,1911037537,-24.3443,13.8412,185.894
3496927,1911047348,-25.6303,11.3028,194.493
3496928,1911057129,-26.745,9.5033,202.813
3496929,1911066995,-27.6339,7.57066,210.083
3496930,1911076836,-28.2845,5.00197,217.207
3496931,1911086673,-28.7114,2.61204,223.235
3496932,1911096518,-29.1682,0.5391,228.757
3496933,1911106336,-29.3976,-1.58642,233.327
3496934,1911116182,-29.4099,-3.72843,236.779
3496935,1911125986,-29.0638,-5.96653,238.917
3496936,1911135840,-28.8249,-7.56572,240.28
3496937,1911145726,-28.5983,-8.81552,240.918
3496938,1911155575,-28.5473,-9.56364,241.172
3496939,1911165424,-28.074,-10.7164,240.394
3496940,1911175246,-27.0556,-12.569,238.1
3496941,1911185045,-26.6599,-13.9595,234.457
3496942,1911194891,-25.5511,-14.9722,229.243
3496943,1911204717,-24.0886,-15.2332,222.591
3496944,1911214558,-23.3666,-14.5743,215.089
3496945,1911224416,-22.1361,-13.9073,205.732
3496946,1911234220,-20.3965,-12.907,194.174
3496947,1911244102,-18.6171,-11.5952,181.12
3496948,1911253915,-16.5254,-9.89373,167.326
3496949,1911263730,-14.1472,-8.22775,152.711
3496950,1911273543,-10.6297,-8.04941,138.494
3496951,1911283399,-6.82296,-8.44835,125.5
3496952,1911293296,-2.76938,-9.36818,113.997
3496953,1911303089,1.35814,-10.5255,104.354
3496954,1911312919,5.07541,-11.8994,97.4987
3496955,1911322807,8.36062,-13.1345,93.55
3496956,1911332585,11.4424,-14.3385,93.1991
3496957,1911342353,14.2001,-15.558,95.4881
3496958,1911362092,18.7483,-18.8321,110.926
3496959,1911371956,19.9094,-20.4576,119.663
3496960,1911381775,20.814,-22.2738,130.763
3496961,1911391675,21.2439,-24.9383,144.058
3496962,1911401505,21.4108,-28.6748,158.542
3496963,1911411330,21.4595,-33.1154,174.043
3496964,1911421145,21.0117,-38.3831,190.466
3496965,1911431146,20.4475,-44.3585,207.05
3496966,1911440798,19.5833,-51.011,223.184
3496967,1911450679,18.8912,-58.3693,239.479
3496968,1911460489,18.5819,-65.8926,254.515
3496969,1911470319,18.003,-73.8562,268.572
3496970,1911480175,17.5911,-81.9472,281.875
3496971,1911489930,16.8681,-90.8232,295.123
3496972,1911499811,16.2849,-99.0684,307.515
3496973,1911509650,16.3319,-107.809,317.817
3496974,1911519487,16.3653,-116.723,327.021
3496975,1911529399,16.7996,-125.159,335.34
3496976,1911539214,16.3573,-131.737,341.828
3496977,1911549055,16.6249,-138.214,346.645
3496978,1911558774,17.6938,-144.067,350.273
3496979,1911568680,17.681,-148.951,352.876
3496980,1911578540,18.3934,-152.658,353.308
3496981,1911588393,18.1325,-154.773,353.704
3496982,1911598192,17.9399,-155.446,353.553
