%frameid,time(us),x(mm),y(mm),z(mm) 
933180,2122187965,-14.7759,-184.539,253.109
933181,2122197195,-14.9217,-184.2,252.821
933182,2122206461,-15.2942,-183.071,252.946
933183,2122215722,-15.5927,-181.806,253.234
933184,2122224943,-16.1005,-178.894,253.197
933185,2122234183,-16.4188,-175.137,252.891
933186,2122243392,-16.7716,-170.719,251.38
933187,2122252602,-16.8107,-167.427,251.434
933188,2122261837,-17.2033,-163.065,250.466
933189,2122271188,-17.6004,-158.079,251.073
933190,2122280319,-17.926,-153.038,252.117
933191,2122289539,-18.7873,-148.42,253.122
933192,2122298749,-19.2863,-144.867,253.828
933193,2122308009,-19.6795,-140.467,254.691
933194,2122317147,-20.4023,-135.018,255.893
933195,2122326385,-21.0657,-129.352,256.708
933196,2122335632,-21.7508,-123.217,257.034
933197,2122344927,-22.4756,-117.638,257.886
933198,2122354099,-23.1911,-111.706,258.66
933199,2122363341,-23.7928,-105.608,259.479
933200,2122372556,-24.464,-99.1319,260.197
933201,2122381769,-24.8031,-92.7174,260.181
933202,2122391059,-25.2594,-86.2654,260.529
933203,2122400261,-25.885,-79.7298,261.261
933204,2122409527,-26.303,-73.1231,261.863
933205,2122418717,-26.751,-66.6792,262.236
933206,2122427960,-26.9842,-60.4438,262.291
933207,2122437216,-27.1016,-54.2674,262.253
933208,2122446420,-27.2285,-47.7374,262.259
933209,2122455630,-27.5002,-41.2748,262.147
933210,2122464898,-27.6876,-34.4687,261.915
933211,2122474068,-27.7641,-28.0737,261.49
933212,2122483318,-27.8241,-20.9943,261.279
933213,2122492582,-27.8449,-14.1428,260.914
933214,2122501837,-27.8025,-7.25249,260.54
933215,2122511064,-27.6998,-0.805245,260.229
933216,2122520367,-27.4583,5.03441,259.594
933217,2122529506,-27.1932,11.0182,258.844
933218,2122538700,-26.9673,17.0745,258.154
933219,2122548006,-26.703,23.4777,257.633
933220,2122557145,-26.3088,29.6193,257.206
933221,2122566355,-25.9555,35.4336,256.456
933222,2122575605,-25.3566,40.8968,255.72
933223,2122584902,-24.78,45.7507,254.883
933224,2122594147,-24.0923,50.0776,254.058
933225,2122603372,-23.4794,54.9451,253.119
933226,2122612490,-22.7209,58.8917,252.486
933227,2122621810,-21.8602,62.619,251.773
