%frameid,time(us),x(mm),y(mm),z(mm) 
926471,1997950505,-56.1403,-148.658,275.044
926472,1997959985,-59.8956,-146.772,274.219
926473,1997969408,-64.6888,-144.229,274.228
926474,1997978838,-69.0856,-141.558,273.38
926475,1997988267,-72.6851,-139.316,271.519
926476,1997997654,-76.6877,-137.223,272.204
926477,1998007148,-80.2981,-134.907,272.061
926478,1998016505,-83.4313,-132.119,269.782
926479,1998025985,-86.6542,-128.606,267.978
926480,1998035441,-89.9827,-124.954,267.188
926481,1998044800,-93.6248,-121.883,266.858
926482,1998054288,-97.221,-119.739,267.196
926483,1998063778,-101.571,-117.07,268.25
926484,1998073156,-104.872,-114.794,268.669
926485,1998082591,-107.948,-112.944,269.489
926486,1998092032,-109.993,-111.181,269.318
926487,1998101495,-113.758,-108.46,271.511
926488,1998110824,-117.308,-105.239,273.21
926489,1998120286,-120.657,-101.703,274.469
926490,1998129664,-122.371,-99.4202,275.556
926491,1998139226,-125.194,-96.0217,276.97
926492,1998148578,-127.679,-92.7621,278.714
926493,1998158091,-129.795,-89.3057,279.97
926494,1998167481,-131.874,-85.5476,281.769
926495,1998176934,-133.549,-82.6971,283.102
926496,1998186374,-134.945,-79.2147,284.521
926497,1998195802,-137.331,-74.7212,286.241
926498,1998205222,-139.412,-70.2341,288.132
926499,1998214676,-140.108,-66.1707,289.178
926500,1998224066,-140.77,-62.2725,289.505
926501,1998233532,-141.533,-58.2987,290.198
926502,1998242993,-142.114,-54.3834,290.768
926503,1998252428,-142.998,-49.0028,291.562
926504,1998261844,-143.559,-44.1731,292.286
926505,1998271232,-143.596,-39.2711,292.515
926506,1998280701,-143.017,-34.8654,292.719
926507,1998290077,-142.783,-29.4972,292.781
926508,1998299569,-141.467,-24.4603,291.48
926509,1998309017,-141.72,-19.1526,292.397
926510,1998318444,-140.859,-13.9904,292.08
926511,1998327823,-139.451,-9.19537,292.047
926512,1998337365,-138.127,-4.42895,292.2
926513,1998346650,-137.106,0.790027,292.551
926514,1998356180,-135.054,5.69032,292.235
926515,1998365622,-132.819,10.1351,291.846
926516,1998374972,-131.015,15.3564,291.832
926517,1998384475,-128.76,20.4963,291.523
926518,1998393927,-126.3,25.7738,291.719
926519,1998403309,-123.489,30.1607,291.874
926520,1998412690,-120.391,33.8632,292.122
926521,1998422200,-117.119,38.4593,292.261
926522,1998431617,-113.85,42.955,292.445
926523,1998441056,-110.377,47.3869,292.389
926524,1998450538,-106.593,51.7506,292.652
926525,1998459959,-102.651,55.0916,293.093
926526,1998469361,-98.6848,58.3921,293.228
926527,1998497664,-81.6226,69.8595,293.151
926528,1998507040,-79.3716,71.9911,294.581
926529,1998516472,-75.6206,73.6397,295.409
926530,1998525876,-71.2364,74.7763,296.105
926531,1998535360,-66.5061,76.0015,296.713
926532,1998544753,-61.9089,77.1456,297.15
926533,1998554283,-57.1273,78.3768,297.542
926534,1998563675,-52.2599,79.3948,297.945
926535,1998573074,-47.2566,80.0821,298.73
926536,1998582505,-42.2758,80.7601,299.429
926537,1998592017,-37.2978,81.0524,299.892
