%frameid,time(us),x(mm),y(mm),z(mm) 
3500645,1956451374,-11.272,9.54676,188.695
3500646,1956460989,-12.2887,7.87622,193.13
3500647,1956470653,-13.5207,6.48694,197.617
3500648,1956480244,-14.4479,4.58444,202.068
3500649,1956489821,-14.9287,3.06069,205.738
3500650,1956499506,-15.3807,1.62252,209.23
3500651,1956509202,-15.856,-0.225295,212.509
3500652,1956518824,-16.1886,-1.41586,214.763
3500653,1956528446,-16.5138,-2.47099,216.57
3500654,1956538113,-16.5175,-3.67698,218.12
3500655,1956547697,-16.7403,-4.67608,219.188
3500656,1956557261,-16.8919,-5.61279,219.918
3500657,1956566973,-16.7339,-6.90522,220.221
3500658,1956576590,-16.871,-7.64295,220.153
3500659,1956586223,-16.8468,-8.39764,219.712
3500660,1956595855,-16.5901,-9.80778,217.925
3500661,1956605402,-15.9715,-10.8923,215.512
3500662,1956615043,-15.1778,-11.6102,212.45
3500663,1956624724,-14.2616,-11.9282,209.371
3500664,1956634367,-13.2151,-12.0147,205.898
3500665,1956643962,-11.916,-12.0692,202.508
3500666,1956653576,-10.3024,-12.078,199.031
3500667,1956663207,-8.53069,-12.6192,195.479
3500668,1956672811,-6.30805,-13.4321,192.349
3500669,1956682437,-4.1228,-14.5964,189.551
3500670,1956692265,-2.24581,-15.8611,187.718
3500671,1956701769,-0.507339,-17.17,186.773
3500672,1956711316,1.47615,-19.187,186.506
3500673,1956721029,3.26244,-21.4036,187.231
3500674,1956730602,4.96937,-23.6395,189.18
3500675,1956740277,6.70655,-26.122,192.377
3500676,1956749890,8.33145,-29.0958,196.307
3500677,1956759534,9.78346,-32.3581,201.032
3500678,1956769166,11.1716,-35.8665,206.326
3500679,1956778736,12.8375,-39.6306,212.211
3500680,1956788363,14.4373,-43.3982,218.787
3500681,1956797961,16.0991,-47.4783,225.624
3500682,1956807679,17.6194,-51.6264,233.003
3500683,1956817315,19.3632,-56.0047,240.633
3500684,1956826926,21.2272,-60.6599,248.205
3500685,1956836548,23.1713,-65.5569,255.904
3500686,1956846130,24.7482,-70.2194,263.956
3500687,1956855845,26.6216,-75.2492,271.919
3500688,1956865439,28.4062,-80.3959,279.711
3500689,1956875024,30.0259,-85.4957,287.161
3500690,1956884706,31.6191,-91.3471,295.192
3500691,1956894253,33.4107,-97.1366,303.038
3500692,1956903878,35.0153,-102.851,310.381
3500693,1956913533,36.9733,-108.883,317.174
3500694,1956923154,38.8887,-114.869,323.707
3500695,1956932829,40.1901,-120.102,329.583
3500696,1956942447,41.5564,-126.119,335.257
3500697,1956952045,43.1779,-131.732,341.323
3500698,1956961738,44.63,-137.82,347.584
3500699,1956971374,45.7898,-144.289,352.686
3500700,1956980937,46.8157,-149.11,356.93
3500701,1956990558,48.174,-154.116,360.457
3500702,1957000356,49.8526,-158.902,363.372
3500703,1957009876,51.3513,-163.828,365.836
3500704,1957019452,52.6169,-168.534,367.945
3500705,1957029067,53.7364,-172.896,369.262
3500706,1957038712,54.5473,-176.138,370.305
3500707,1957048387,55.7393,-179.406,370.681
3500708,1957058019,56.3304,-182.859,370.615
3500709,1957067643,56.809,-184.59,370.711
3500710,1957077248,57.1121,-185.844,370.195
3500711,1957086920,57.379,-186.795,369.654
3500712,1957096495,57.605,-187.573,368.451
3500713,1957106130,57.7969,-188.138,366.713
3500714,1957115813,57.9246,-188.146,363.122
3500715,1957125436,58.3557,-187.848,360.92
3500716,1957135039,57.9504,-186.579,358.369
3500717,1957144709,57.5782,-184.769,355.187
3500718,1957154291,57.1499,-181.968,352.341
3500719,1957163924,56.9128,-179.484,349.395
3500720,1957173483,56.4306,-175.974,346.226
3500721,1957183188,56.0807,-172.347,342.253
3500722,1957192795,55.325,-168.359,339.139
3500723,1957202470,55.0299,-163.882,335.38
3500724,1957212034,54.2955,-160.527,331.254
3500725,1957221683,54.0284,-156.414,326.757
3500726,1957231327,53.6588,-152.606,322.118
3500727,1957240968,52.7755,-148.425,316.67
3500728,1957250597,51.5665,-143.304,310.893
3500729,1957260250,50.2748,-137.79,305.099
3500730,1957269792,48.5812,-131.574,298.576
3500731,1957279459,46.0089,-124.226,292.032
3500732,1957289093,43.7766,-117.239,283.877
3500733,1957298638,41.0691,-109.164,276.133
3500734,1957308294,38.4678,-101.609,267.347
3500735,1957318010,35.6116,-92.4215,258.385
3500736,1957327589,32.7061,-82.8653,249.521
3500737,1957337196,29.6612,-73.9516,239.66
3500738,1957346839,27.2554,-64.5459,229.15
3500739,1957356419,24.6939,-54.7941,218.391
3500740,1957366122,22.3283,-45.0105,207.142
3500741,1957375717,20.2426,-36.204,195.809
3500742,1957385339,18.3728,-27.3509,184.482
3500743,1957395038,16.97,-19.7852,173.031
3500744,1957404614,15.7813,-11.9272,162.09
3500745,1957414235,14.7877,-4.72466,151.232
3500746,1957423812,13.3247,1.71997,141.397
3500747,1957433493,12.1228,7.55474,132.316
3500748,1957443116,11.0192,12.2075,124.451
3500749,1957452751,10.0772,16.2615,117.567
3500750,1957462394,9.04501,20.1,111.758
3500751,1957472087,8.4445,22.3357,107.767
3500752,1957481650,7.65772,23.8525,104.864
3500753,1957491324,6.93867,24.7469,103.719
3500754,1957500955,6.18438,25.1849,103.398
3500755,1957510491,5.42893,25.2953,103.607
3500756,1957520201,4.05362,25.0314,104.747
3500757,1957529834,2.15197,24.6334,107.343
3500758,1957539452,-0.0630816,24.1324,110.903
3500759,1957549086,-2.24152,23.3357,114.862
3500760,1957558664,-3.83464,22.4296,118.951
3500761,1957568305,-5.39257,21.115,123.149
3500762,1957577899,-6.84938,18.7323,128.283
3500763,1957587493,-7.99474,16.0739,133.458
3500764,1957597162,-9.25573,13.6693,138.921
3500765,1957606784,-10.4406,11.0113,144.679
3500766,1957616429,-11.7649,8.44089,150.241
3500767,1957626097,-12.6516,5.21307,155.6
3500768,1957654970,-16.4847,-3.16102,171.345
3500769,1957664611,-16.8567,-4.94849,173.808
3500770,1957674256,-17.313,-6.44638,175.884
3500771,1957683896,-17.7464,-8.41257,178.035
3500772,1957693525,-18.3132,-9.7098,179.438
3500773,1957703081,-18.6369,-10.6432,180.313
3500774,1957712723,-18.7649,-11.7362,180.808
3500775,1957722389,-18.8901,-12.601,180.99
3500776,1957732034,-18.9347,-13.1381,180.943
3500777,1957741612,-18.9991,-13.5967,180.555
3500778,1957751247,-18.9556,-14.0417,179.859
3500779,1957760903,-18.486,-14.4176,178.037
3500780,1957770496,-17.305,-14.844,175.17
3500781,1957780136,-15.4344,-15.3935,171.27
3500782,1957789728,-13.6833,-15.154,167.607
