time,x_corr,y_corr,z_corr,Q1L,Q2L,dL,Q3L,QgL,FgL,Q1R,Q2R,dR,Q3R,QgR,FgR,xL,yL,zL,xR,yR,zR,toolPathL,toolPathR,toolSpeedL,toolSpeedR,toolAccL,toolAccR,toolJerkL,toolJerkR,toolPathCrvL,toolPathCrvR,dQ3L,dQgL,dFgL,dQ3R,dQgR,dFgR,dQ3Latan,dQ3Ratan,dxL,dyL,dzL,dxR,dyR,dzR,inputx,inputy,inputz,skillLevel
-1.122000,-0.757653,-0.158681,0.480322,11.633790,-18.687083,-3.475470,18.537938,10.519507,0.024116,6.608863,-28.897223,-4.119388,21.815985,8.665322,0.256338,-2.894083,3.503263,2.238367,-0.340698,1.961668,3.284735,27.569667,25.562915,2.735294,2.317083,-8.993114,-5.986337,160.628329,-159.942609,52.236806,4.003544,10.260597,2.887095,-0.369515,-5.478133,3.293850,0.180465,16.081255,-8.599529,-0.875059,0.035950,-0.056336,-0.591442,1.714630,-0.598361,-1.832204,-3.700343,7.068694,3.000000
-1.089000,-0.784864,-0.175226,0.492460,11.589613,-18.593482,-3.435275,18.976605,10.604943,0.009226,6.543481,-28.814449,-4.065259,21.586506,8.769044,0.255657,-2.921294,3.486718,2.250505,-0.355782,2.013177,3.259034,27.664379,25.640148,2.249282,1.836729,1.063176,-14.001881,554.820472,-140.515576,11.748731,5.117676,13.498079,2.124602,-0.553757,-7.497656,2.477877,-0.255428,21.120892,-11.763197,-0.721051,-1.050446,0.879663,-0.333857,1.381512,-0.926565,-1.832204,-3.700343,7.068694,3.000000
-1.056000,-0.803458,-0.227655,0.538860,11.580096,-18.570839,-3.453015,19.467934,10.659143,-0.011478,6.540675,-28.741487,-4.034503,21.310904,8.833149,0.239211,-2.939888,3.434289,2.296905,-0.363023,2.052345,3.223981,27.714550,25.691435,2.505995,1.227165,27.916572,-15.643441,793.149187,9.520341,2.311012,6.106870,13.013464,1.008728,-0.649742,-8.013248,1.075705,-0.692973,20.368127,-12.569980,-0.363317,-2.099623,1.989507,-0.118177,0.977999,-1.152613,-1.832204,-3.700343,7.068694,3.000000
-1.023000,-0.807383,-0.312578,0.623582,11.589731,-18.630992,-3.536650,19.860556,10.671390,-0.033119,6.590504,-28.687025,-4.020630,21.053762,8.842271,0.209926,-2.943813,3.349366,2.381627,-0.363943,2.077471,3.183634,27.810235,25.702714,4.033144,0.797814,57.130681,-11.419081,597.293168,130.789712,0.930196,7.094369,10.233857,-0.367011,-0.534674,-7.153965,-0.454533,-0.972143,16.039532,-11.225177,0.155278,-2.983763,3.158341,0.048597,0.543034,-1.243013,-1.832204,-3.700343,7.068694,3.000000
-0.990000,-0.792171,-0.422613,0.746327,11.596984,-18.774954,-3.692325,20.119742,10.635583,-0.047014,6.678073,-28.656287,-4.014065,20.848694,8.802367,0.175318,-2.928601,3.239331,2.504373,-0.360206,2.088210,3.142733,27.985751,25.749668,6.392515,0.531211,70.066475,-5.607801,-14.400952,146.933771,0.569229,8.452025,8.410289,-1.818295,-0.142985,-5.729393,-1.518822,-0.992186,13.190971,-8.993415,0.782929,-3.593409,4.244707,0.164789,0.118248,-1.189886,-1.832204,-3.700343,7.068694,3.000000
-0.957000,-0.755151,-0.547242,0.901944,11.577619,-18.994084,-3.926855,20.357186,10.552755,-0.043606,6.786171,-28.650758,-4.009954,20.690459,8.739249,0.144870,-2.891581,3.114702,2.659989,-0.353445,2.085568,3.105851,28.231751,25.752693,8.699818,0.424839,57.299482,-1.469306,-740.931465,89.846130,0.456859,10.425338,9.473945,-3.110963,0.478038,-4.393595,-1.734598,-0.739280,14.853241,-6.898603,1.463352,-3.851561,5.104640,0.233737,-0.257605,-1.009840,-1.832204,-3.700343,7.068694,3.000000
-0.924000,-0.695530,-0.674068,1.080760,11.508488,-19.272243,-4.235393,20.707203,10.432081,-0.016921,6.898020,-28.668425,-4.008610,20.564398,8.685421,0.126956,-2.831960,2.987876,2.838806,-0.345108,2.071724,3.076654,28.557939,25.752693,10.194555,0.472529,21.582642,-0.184910,-1169.423382,33.771580,0.449181,12.396308,11.987801,-4.023375,1.154042,-3.199580,-1.156003,-0.285472,18.772982,-5.024791,2.139903,-3.723413,5.616322,0.263063,-0.553513,-0.739415,-1.832204,-3.700343,7.068694,3.000000
-0.891000,-0.614342,-0.790308,1.269694,11.371226,-19.588538,-4.582963,21.169228,10.289424,0.031345,6.999751,-28.704447,-4.010922,20.472714,8.662956,0.126299,-2.750772,2.871636,3.027740,-0.336335,2.049704,3.057342,28.902308,25.798498,10.298196,0.463350,-22.433067,-0.330701,-1000.018288,23.072831,0.523120,12.649184,12.533907,-4.413606,1.632652,-1.920774,-0.240543,0.238551,19.622626,-3.016908,2.759191,-3.220524,5.700768,0.263595,-0.749790,-0.428062,-1.832204,-3.700343,7.068694,3.000000
-0.858000,-0.514284,-0.884318,1.453937,11.155350,-19.920254,-4.901900,21.589020,10.143534,0.090452,7.082237,-28.752128,-4.015121,20.428376,8.672589,0.142696,-2.650714,2.777626,3.211982,-0.327871,2.022970,3.048367,29.236271,25.798498,8.800138,0.384025,-50.341910,0.756625,-292.683476,40.690722,0.705070,10.601272,9.290713,-4.257791,1.687659,-0.610050,0.423097,0.686497,14.567033,-0.958257,3.274075,-2.398969,5.334855,0.248069,-0.840008,-0.129862,-1.832204,-3.700343,7.068694,3.000000
-0.825000,-0.399474,-0.946967,1.618907,10.860316,-20.245580,-5.117207,21.807665,10.011602,0.143403,7.142067,-28.804002,-4.017916,20.430084,8.695512,0.171299,-2.535904,2.714978,3.376952,-0.320024,1.994970,3.048418,29.515769,25.798498,6.594188,0.445094,-43.879690,3.260453,469.320085,44.474107,1.066483,7.688321,4.006332,-3.636802,1.237113,0.305817,0.459884,0.940956,6.290978,0.480375,3.646042,-1.351796,4.554562,0.229700,-0.831133,0.104790,-1.832204,-3.700343,7.068694,3.000000
